Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.01	 Generacja: 	42593	 Najlepszy wynik: 	21
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	5000	 Generacja: 	212790	 Najlepszy wynik: 	18
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	10000	 Generacja: 	425842	 Najlepszy wynik: 	18
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	30000	 Generacja: 	1278895	 Najlepszy wynik: 	18
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	4258576	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	8516563	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.01	 Generacja: 	42793	 Najlepszy wynik: 	24
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.61	 Generacja: 	214001	 Najlepszy wynik: 	19
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	10000	 Generacja: 	428139	 Najlepszy wynik: 	19
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	30000	 Generacja: 	1284697	 Najlepszy wynik: 	18
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	4276988	 Najlepszy wynik: 	18
Liczba miast: 	22	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	8556340	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.04	 Generacja: 	19349	 Najlepszy wynik: 	20
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.02	 Generacja: 	96736	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	10000.1	 Generacja: 	193482	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	30000	 Generacja: 	580098	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	1933283	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	3865875	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.04	 Generacja: 	19478	 Najlepszy wynik: 	21
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.04	 Generacja: 	97266	 Najlepszy wynik: 	19
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	10000	 Generacja: 	194732	 Najlepszy wynik: 	18
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	30000	 Generacja: 	584420	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	1946893	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	3891502	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.09	 Generacja: 	4986	 Najlepszy wynik: 	18
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	5000	 Generacja: 	24958	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	10000.2	 Generacja: 	49931	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	30000.2	 Generacja: 	149702	 Najlepszy wynik: 	15
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	499220	 Najlepszy wynik: 	14
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	998014	 Najlepszy wynik: 	13
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.01	 Generacja: 	5013	 Najlepszy wynik: 	20
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.02	 Generacja: 	24970	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	10000	 Generacja: 	49845	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.2	 Generacja: 	149651	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	498902	 Najlepszy wynik: 	15
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	996868	 Najlepszy wynik: 	15
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.44	 Generacja: 	1866	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.18	 Generacja: 	9376	 Najlepszy wynik: 	15
